demonstrativo_regionalizado_do_efeito_sobre_a_receita_e_a_despesa_decorrente_de_isencao_anistia_transacao_remissao_subsidio_e_beneficio_de_natureza_financeira_tributario_e_crediticia;unnamed_1;unnamed_2;unnamed_3;unnamed_4
(inciso IX do artigo 7º da Lei nº 24.945, de 02/08/2024);;;;
Tabela 2 - Benefícios Tributários  Concedidos a partir de 2024 - Novas Renúncias Por Região, Tributo, Modalidade e Atividade Econômica;;;;
Exercício Fiscal  de 2025;;;;
;;;(a preços de 2024);
REGIONALIZAÇÃO;TRIBUTO;MODALIDADE;SETOR/ PROGRAMA/ BENEFICIÁRIO;VALOR EM R$
POUSO ALEGRE;ICMS;Crédito Presumido(1 e 2);"Comércio; reparação de veículos automotores e motocicletas";26591048.39757247
;TOTAL;;;26591048.39757247
UBERABA;ICMS;Crédito Presumido(1 e 2);Indústria de Transformação;455099.9423976175
;TOTAL;;;455099.9423976175
Contribuintes Não inscritos;IPVA;Isenção;Sem cnae;3348856.8281873385
;TOTAL;;;3348856.8281873385
Fonte: Dados Cognos, SAS e SIARE/MG - junho 2024;;;;
Elaboração: DIEF/SAIF/SEF-MG;;;;
Notas:;;;;
"Obs.: Receita Orçamentária Fiscal: Receitas Correntes = R$ 154.516.168.829; Receita Tributária (Impostos, Taxas e Contribuições de Melhoria) = R$ 111.897.941.946;  ICMS com juros,multas e dívida ativa = R$ 84.690.281.454.";;;;
Notas:;;;;
1 - Para a quantificação das renúncias fiscais do ICMS formalizadas em regimes especiais, a SEF/MG agrega e consolida por núcleo de CNPJ, os dados informados pelos contribuintes na DAPI - Declaração de Apuração do ICMS, Portaria SRE-117/2013, modalidade de autolançamento do imposto, e complementa eventualmente com os dados dos demais documentos eletrônicos emitidos pelos mesmos. Essas informações estão sujeitas à revisão fiscal no prazo decadencial de 5 anos.;;;;
2 - A SEF/MG, na eventual concessão de regime especial de tratamento tributário setorial que possa ser caracterizado como uma nova renúncia de receita de ICMS, irá adotar o dispositivo de salva guarda da arrecadação tributária, como medida de compensação de renúncia fiscal, consistente na aceitação pelo contribuinte de uma receita mínima nos exercícios seguintes, correspondente ao valor do ICMS devido a título de operação própria e substituição tributária, corretamente declarado no exercício fiscal anterior, corrigido pela variação acumulada do IPCA, divulgado pelo IBGE.;;;;
3 - Como medida de compensação será utilizado o produto da arrecadação do ICMS relativo ao segmento de combustíveis em Minas Gerias em 2024, em razão da majoração dos valores de Ad rem da gasolina e do etanol anidro a ela adicionado, do óleo diesel e biodiesel adicionado, e de GLP, inclusive o derivado de gás natural, a partir de 1º de fevereiro de 2024, conforme disposto no Convênios ICMS nº 172 e 173 de 20 de outubro de 2023.;;;;
A fundamentação legal é no sentido de que não serão afetadas as metas de resultados fiscais do setor, nos termos do inciso I, art. 14 da Lei Complementar nº 101/2000.;;;;
