montantes_das_perdas_na_receita_tributaria_do_estado_de_minas_gerais_em_decorrencia_das_desoneracoes_especificadas_por_tributos_e_modalidades_de_renuncias;unnamed_1;unnamed_2;unnamed_3
EXERCÍCIO DE 2025;;;
;;;1
TRIBUTO;MODALIDADE;NORMA AUTORIZATIVA;MONTANTE DAS PERDAS 
NOVAS RENÚNCIAS - CONCEDIDAS EM 2025;;;
ICMS;Benefício de natureza financeira, tributária e creditícia (1, 2 e 3);Lei Complementar nº 160/2017, Convênio nº ICMS nº 190/2017, Lei nº  6763/1975 e Decreto nº 49.001/2025;4735811.97387341
ICMS;Isenção;Decreto nº 48.968/2024;14378052.731433598
TOTAL ;;;19113864.705307007
RENÚNCIAS PRÉ-EXISTENTES - ANTERIORES A 2025;;;
ICMS;Benefício de natureza financeira, tributária e creditícia (1, 2 e 3);Lei Complementar nº 160/2017, Convênio ICMS nº 190/17, Lei nº 22.944/2018, Convênio ICMS nº 03/18, Decreto nº 48.532/2022 e Lei nº 6763/1975;9247117053.89437
ICMS;Isenção;Lei Complementar nº 160/2017, Convênio ICMS nº 190/2017, Convênio ICMS nº 38/2012, Convênio ICMS  nº 147/2023, Convênio ICMS nº 53/2017, Decreto nº 48.532/2022 e Lei nº 6763/1975;142128494.59440133
ICMS;Anistia;Lei 24.612/2023, REFIS 2021 - Lei nº  23.801/2021, Novo Regularize - Lei nº  22.549/2017 e Regularize - Dec. nº  46.817/2015;465782586.69000846
IPVA;Benefício de natureza financeira, tributária e creditícia;Lei nº 14.937/2003;1316816313.8605902
IPVA;Isenção;Lei nº 14.937/2003;65589734.01819995
ITCD;Anistia;Regularize - Lei 23.801/2021 e Dec. 46.817/2015;4027212.4600000074
TAXAS;Anistia;Regularize - Dec. 46.817/2015;1095492.6300000024
TOTAL;;;11242556888.147566
TOTAL GERAL ;;;11261670752.852873
Fonte:;"Dados do Armazém Cognos e SAS - SAIF/DIEF; SICAF/MG - SUCRED junho 2025";;
Elaboração: ;DIEF/SAIF/SEF-MG;;
Notas:;;;
1 - Para a quantificação das renúncias fiscais do ICMS formalizadas em regimes especiais, a SEF/MG agrega e consolida por núcleo de CNPJ, os dados informados pelos contribuintes na DAPI - Declaração de Apuração do ICMS, Portaria SRE-117/2013, modalidade de autolançamento do imposto, e complementa eventualmente com os dados dos demais documentos eletrônicos emitidos pelos mesmos. Essas informações estão sujeitas à revisão fiscal no prazo decadencial de 5 anos.;;;
2 - A SEF/MG, na eventual concessão de regime especial de tratamento tributário setorial que possa ser caracterizado como uma nova renúncia de receita de ICMS, adota o dispositivo de salvaguarda da arrecadação tributária, como medida de compensação de renúncia fiscal, consistente na aceitação pelo contribuinte, do compromisso de efetuar um recolhimento mínimo nos exercícios seguintes, correspondente ao valor do ICMS recolhido no exercício fiscal anterior, a título de operação própria e substituição tributária, corrigido pela variação acumulada do IPCA, divulgado pelo IBGE. ;;;
3 - A critério da SEF/MG, alternativamente ao exercício fiscal anterior, a comparação poderá ser correspondente ao valor do ICMS recolhido nos dozes meses anteriores ao mês de início de fruição do tratamento tributário, a título de operação própria e substituição tributária, corrigido pela variação acumulada do IPCA, divulgado pelo IBGE.;;;
4 - No caso de contribuinte com saldo credor no exercício anterior ou com a carga efetiva inferior ao percentual a ser concedido mediante regime especial, bem como em relação ao contribuinte que está iniciando as atividades no Estado, ou seja, investimento novo, a comparação será feita entre o valor recolhido no segundo período de 12 meses após o início de fruição do tratamento tributário e o valor recolhido nos primeiros 12 meses após o início de fruição deste, corrigido pela variação acumulada do IPCA, divulgado pelo IBGE.;;;
5 - Como medida de compensação será utilizado o produto da arrecadação do ICMS relativo ao segmento de combustíveis em Minas Gerias em razão da majoração dos valores de Ad rem da gasolina e do etanol anidro a ela adicionado, do óleo diesel e biodiesel adicionado, e de GLP, inclusive o derivado de gás natural, introduzido pela Lei Complementar nº 192/22 e Convênios ICMS nº 112 e nº 113/2025 com os novos valores de Ad rem com vigência a partir de 01/01/2026.;;;
A fundamentação legal é no sentido de que não serão afetadas as metas de resultados fiscais do setor, nos termos do inciso I, art. 14 da Lei Complementar nº 101/2000.;;;
