montantes_das_perdas_na_receita_tributaria_do_estado_de_minas_gerais_em_decorrencia_das_desoneracoes_especificadas_por_tributos_e_modalidades_de_renuncias;unnamed_1;unnamed_2;unnamed_3
;;;
EXERCÍCIO DE 2020;;;
;;;1
TRIBUTO;MODALIDADE;NORMA AUTORIZATIVA;MONTANTE DAS PERDAS 
NOVAS RENÚNCIAS - CONCEDIDAS EM 2020;;;
ICMS;Benefício de natureza financeira, tributária e creditícia (1 e 2);Lei nº 6.763/75, art. nº 225 e Decreto nº 47.841/2020;16641994.372726467
TOTAL ;;;16641994.372726467
RENÚNCIAS PRÉ-EXISTENTES - ANTERIORES A 2020;;;
ICMS;Benefício de natureza financeira, tributária e creditícia;Lei 6763/75, art. 75 e 225 e Lei Nº 22.944/2018;7157748739.511769
ICMS;Isenção;Lei 6763/75 e Decr. 47.935/2020;75459846.16319996
ICMS;Anistia;Dec 43.839/04, Lei 17.247/07, Dec 45.358/10, Regularize - Dec. 46.817/2015 e Lei 22.549/2017;527774369.61999965
IPVA;Benefício de natureza financeira, tributária e creditícia;Lei nº 14.937/2003;1044423458.9000002
IPVA;Isenção;;79838644.00000015
ITCD;Anistia;Dec 43.839/04, Regularize - Dec. 46.817/2015 e Lei 22.549/2017;3839325.17000001
TAXAS;Anistia;Regularize - Dec. 46.817/2015 e Lei 22.549/2017;634613.0799999991
TOTAL;;;8889718996.44497
 BENEFÍCIOS FISCAIS HETERÔNOMOS 2020;;;
ICMS;Lei Kandir - perda líquida após o ressarcimento (3);Lei Complementar 87/96;7126028512.57278
ICMS;Simples Nacional;Lei Complementar 123/06 de 14.12.06;1021369713.2659395
TOTAL;;;8147398225.838719
Fonte: CONFAZ/ GT08 (Lei Kandir),  DICREB/SCAF/STE/SEF e Armazém COGNOS  - DIEF/SAIF/SEF - fevereiro 2021;;;
Elaboração: DPE/DIEF/SAIF/SEF-MG;;;
Notas:;;;
1 - Para a quantificação das renúncias fiscais do ICMS formalizadas em regimes especiais, a SEF/MG agrega e consolida por núcleo de CNPJ, os dados informados pelos contribuintes na DAPI - Declaração de Apuração do ICMS, Portaria SRE-117/2013, modalidade de autolançamento do imposto, e complementa eventualmente com os dados dos demais documentos eletrônicos emitidos pelos mesmos. Essas informações estão sujeitas à revisão fiscal no prazo decadencial de 5 anos.;;;
2 - Estimativa dos Efeitos sobre Receitas do Estado decorrentes das Novas Renúncias Concedidas a partir de 2020 - Benefícios Tributários - Exercício Fiscal de 2020 - LOA/2020 - Lei 23.579, de 15 de janeiro de 2020.;;;
A SEF/MG, na eventual concessão de regime especial de tratamento tributário setorial que possa ser caracterizado como uma nova renúncia de receita de ICMS, irá adotar o dispositivo de salva guarda da arrecadação tributária, como medida de compensação de renúncia fiscal, consistente na aceitação pelo contribuinte de uma receita mínima nos exercícios seguintes, correspondente ao valor do ICMS devido a título de operação própria e substituição tributária, corretamente declarado no exercício fiscal anterior, corrigido pela variação acumulada do IPCA, divulgado pelo IBGE.;;;
No caso de contribuinte que está iniciando as atividades no Estado, ou seja, investimento novo, a comparação será feita entre o valor recolhido no segundo período de 12 meses após o início de vigência do regime especial e o valor recolhido nos primeiros 12 meses após o início de vigência deste, corrigido pela variação acumulada do IPCA, divulgado pelo IBGE.;;;
A fundamentação legal é no sentido de que não serão afetadas as metas de resultados fiscais do setor, nos termos do inciso I, art. 14 da Lei Complementar nº 101/2000.;;;
3 - Lei Kandir e Ativo Permanente - Estes valores foram informados no relatório A01-ANEXO XIV - GT08 perdas x repasses Lei Kandir (v.07.08.2019) - exportações julho/2018 - jun/2019 e ativo permanente 2018. Não teve ressarcimento no exercício de 2020 -Transferência da União. A LC 87/96 entrou em vigor em set/96. O Plenário do Supremo Tribunal Federal (STF), em 20/05/2020 homologou acordo firmado entre os Estados, o Distrito Federal e a União para regulamentar a compensação de perdas de arrecadação em decorrência da desoneração das exportações do Imposto sobre Circulação de Mercadorias e Serviços (ICMS) disposta na Lei Kandir.;;;
