demonstrativo_regionalizado_do_efeito_sobre_a_receita_e_a_despesa_decorrente_de_isencao_anistia_transacao_remissao_subsidio_e_beneficio_de_natureza_financeira_tributario_e_crediticia;unnamed_1;unnamed_2;unnamed_3;unnamed_4;unnamed_5;unnamed_6;unnamed_7;unnamed_8;unnamed_9;unnamed_10;unnamed_11
(inciso IX do artigo 7º da Lei nº 24.945, de 02/08/2024);;;;;;;;;;;
;;;;;;;;;;;
Tabela 4 - Minas Gerais - Estimativa Regionalizada das Renúncias Pré Existentes;;;;;;;;;;;
Exercício Fiscal  de 2025;;;;;;;;;;;
;;;;;;;;;;;( valores em R$ a preços de 2024)
REGIONALIZAÇÃO;ICMS por Modalidade de Renúncia;;;;;;;IPVA;;Anistia - ITCD;Anistia - Taxa
;Isenção;Redução da Base de Cálculo;Redução de Alíquota;Crédito Presumido;Incentivo a Cultura e Esporte;Suframa;Anistia;Isenção;Redução de Alíquota;;
Barbacena;66863912.36480634;21836.215834604904;;195422977.72374403;2032981.75199056;;19355846.53999999;;1084235.5045317677;122429.6000000001;50434.080000000075
Belo Horizonte;222083075.07477266;136201401.27173826;2001730.8773248661;6017632096.949379;116787627.23092335;7668463.297752032;284159653.5200007;;3810866064.123423;2651062.4600000107;1968490.5200000007
Divinópolis;48790.0455660335;103713813.45923029;;838489374.8569748;1992605.1191014228;18021.95350494577;64932602.49999995;;20625651.658563774;213703.84000000014;132357.37999999998
Governador Valadares;;5575080.065553993;;96513205.4124526;8539.632818916554;0;18348775.17999993;;4133454.73536408;53945.949999999866;1269.62
Ipatinga;32230905.023157783;335013.66878114606;;599604954.1778468;3605745.9750384637;158840.39500615146;28823085.169999804;;23708808.852844194;135347.6000000001;21520.019999999997
Juíz de Fora;791242.3877393375;370921.8597471493;;810871554.3759584;9703837.673360812;40597.5263488483;54695594.29999964;;8831272.07829247;160093.92999999993;13573.320000000002
Montes Claros;412140.0969797098;976916.7398836369;;273260680.3972609;495150.7009858673;0;20043480.830000106;;4322453.579813758;110517.71999999994;2040.8199999999995
Patos de Minas;;25416085.896653045;;189253991.0718878;65624.46295082293;0;32520889.17999996;;3610611.521840991;248961.08000000042;0
Pouso Alegre;1670064.7170438876;284226.30983799655;;4631582591.40584;2683559.09687668;0;53112391.40999994;;12027874.618574934;159691.46999999994;0
Teófilo Otoni;;;;60208032.337795034;16011.811535468538;0;13030386.109999925;;3292089.797518089;71317.91000000002;596.4899999999999
Uberaba;32717.059361809635;540926.3328589137;;943448159.7394085;1558688.9120231583;0;68174858.45999996;;10739985.605491828;346400.9499999998;5558.749999999999
Uberlândia;30556.330720005597;51969476.911514804;;1041216868.4269955;4404679.32931797;0;48292410.72999998;;12506534.927282348;408097.91999999864;2348.7599999999998
Varginha;377967.1633611448;165992.31297088947;;1223121607.5264888;788531.825317081;12382.609864931805;46769686.0200001;;10281420.726667363;231978.5399999999;1020.12
Contribuintes Não inscritos;60527621.78738925;;;;;;10250999.05;201722838.15349418;;;
SUB TOTAL;385068992.05089796;325571691.0446047;2001730.8773248661;16920626094.402035;144143583.52224058;7898305.782476909;762510658.9999999;201722838.15349418;3926030457.730209;4913548.97000001;2199209.880000001
TOTAL;;;;;;;;;;;22682687111.41329
Fonte: Dados Cognos, SAS, SIARE/MG e SUCRED/SEF - junho 2024;;;;;;;;;;;
Elaboração: DIEF/SAIF/SEF-MG;;;;;;;;;;;
"Obs.: Receita Orçamentária Fiscal: Receitas Correntes = R$ 154.516.168.829; Receita Tributária (Impostos, Taxas e Contribuições de Melhoria) = R$ 111.897.941.946;  ICMS com juros,multas e dívida ativa = R$ 84.690.281.454.";;;;;;;;;;;
1 - Para a quantificação das renúncias fiscais do ICMS formalizadas em regimes especiais, a SEF/MG agrega e consolida por núcleo de CNPJ, os dados informados pelos contribuintes na DAPI - Declaração de Apuração do ICMS, Portaria SRE-117/2013, modalidade de autolançamento do imposto, e complementa eventualmente com os dados dos demais documentos eletrônicos emitidos pelos mesmos. Essas informações estão sujeitas à revisão fiscal no prazo decadencial de 5 anos.;;;;;;;;;;;
Para corrigir a distorção de contribuintes que não escrituram créditos por entradas integralmente, suprindo-os por crédito presumido a maior, proporcionando renúncia superestimada, a SEF/MG compara os valores totais de créditos informados na DAPI (campo 43x3), com os totais de ICMS destacados em NFe pelos remetentes para esses beneficiados. Caso o montante dessa proxy seja superior aos créditos escriturados na DAPI, a SEF/MG deduz essa diferença da estimativa da renúncia.;;;;;;;;;;;
Em relação ao procedimento indevido de alguns contribuintes de utilizarem campos impróprios da declaração, a SEF/MG apura o saldo devedor operacional dos créditos e débitos destacados em NFe e compara com o ICMS devido e/ou pago informado na DAPI, sendo estimada como renúncia essa eventual diferença.;;;;;;;;;;;
