demonstrativo_regionalizado_do_efeito_sobre_a_receita_e_a_despesa_decorrente_de_isencao_anistia_transacao_remissao_subsidio_e_beneficio_de_natureza_financeira_tributario_e_crediticia;unnamed_1;unnamed_2;unnamed_3;unnamed_4;unnamed_5;unnamed_6;unnamed_7;unnamed_8;unnamed_9;unnamed_10;unnamed_11
(inciso IX do artigo 7º da Lei nº 23.364, de 25/07/2019);;;;;;;;;;;
;;;;;;;;;;;
Tabela 4 - Minas Gerais - Estimativa Regionalizada das Renúncias Pré Existentes;;;;;;;;;;;
Exercício Fiscal  de 2020;;;;;;;;;;;
;;;;;;;;;;;( a preços de 2019)
REGIONALIZAÇÃO;ICMS por Modalidade de Renúncia;;;;;;;IPVA;;Anistia - ITCD;Anistia - Taxa
;Isenção;Redução da Base de Cálculo;Redução de Alíquota;Crédito Presumido;Incentivo a Cultura e Esporte;Suframa;Anistia;Isenção;Redução de Alíquota;;
Barbacena;;1384578.717127072;;366011668.40000004;5648129.32;;4719631.170000003;;291432.79;8626.679999999995;4516.269999999998
Belo Horizonte;;292584631.36852;1640677.7486217804;1372215844.9046233;20120369.13;1408572.2996632645;410088083.9899991;;209526318.7399935;1010128.4200000037;240242.9699999998
Divinópolis;;96836704.36914688;;318670996.21999997;1991861.76;390631.90874554747;29036774.250000022;;1999949.13;59063.209999999955;40537.85
Governador Valadares;;15473328.806535736;;46357932.31000001;13496.92;;5699960.780000007;;354585.6000000001;37013.899999999994;1693086.0500000003
Ipatinga;65806.10399999999;2339390.821133167;;242475608.79;5910644.16;;11195927.649999982;;2684175.9299999983;31048.05999999997;2284.4100000000003
Juíz de Fora;;12547449.125961142;;286402699.15000015;10381545.26;38438.67334871265;20896533.31000006;;725033.1599999998;99706.84000000011;20413.96000000003
Montes Claros;;1763549.567175619;;95232205.06;459897.16;;7138953.139999993;;453092.05;41961.95999999997;72499.25999999998
Patos de Minas;;55207966.02281628;;112554420.99999999;24528.44;;2611960.3199999994;;124117.78000000001;70586.09000000001;7108.5499999999965
Pouso Alegre;;1363050.2019893;;1692445904.6800008;9584734.92;;12985497.279999973;;395196.74000000017;64001.42999999997;43810.140000000014
Teófilo Otoni;;342095.96806208463;;19970464.66;;;3386427.86;;290871.04;93133.16000000008;5245.679999999997
Uberaba;13899479.93;1924557.808191343;;162382837.8;435830.57;;21158699.909999993;;732567.9399999997;26372.4;23664.509999999995
Uberlândia;;46638689.43230255;;303595089.6499999;6739767.35;;18773916.589999977;;173886.55000000002;132566.63;31621.600000000002
Varginha;;687466.5727056598;;374646909.17000014;131284.56;;15753690.110000022;;707712.42;102420.22999999992;65106.30000000002
Contribuites Não inscrito;;17112041.186224632;;;;;4335223.27;35126367.51000115;300484931.78000796;;
SUB TOTAL;13965286.034;546205499.9678916;1640677.7486217804;5392962581.794623;61442089.550000004;1837642.8817575248;567781279.6299992;35126367.51000115;518943871.65000147;1776629.0100000035;2250137.55
TOTAL;;;;;;;;;;;7143932063.326897
Fonte: DPE/DIEF/SAIF/SEF-MG;;;;;;;;;;;
Elaboração: DPE/DIEF/SAIF/SEF-MG;;;;;;;;;;;
"Obs.: Receita Orçamentária Fiscal: Receita Corrente = R$ 92.916.039.851,00; Receita Tributária = R$ 69.779.606.719,00;  ICMS = R$ 53.797.860.025,00.";;;;;;;;;;;
