demonstrativo_regionalizado_do_efeito_sobre_a_receita_e_a_despesa_decorrente_de_isencao_anistia_transacao_remissao_subsidio_e_beneficio_de_natureza_financeira_tributario_e_crediticia;unnamed_1;unnamed_2;unnamed_3;unnamed_4
(inciso IX do artigo 7º da Lei nº 24.404, de 02/08/2023);;;;
Tabela 2 - Benefícios Tributários  Concedidos a partir de 2023 - Novas Renúncias Por Região, Tributo, Modalidade e Atividade Econômica;;;;
Exercício Fiscal  de 2024;;;;
;;;(a preços de 2023);
REGIONALIZAÇÃO;TRIBUTO;MODALIDADE;SETOR/ PROGRAMA/ BENEFICIÁRIO;VALOR EM R$
BELO HORIZONTE;ICMS;Crédito Presumido(1,2 e 3);Indústria de Transformação;2940044.4000000004
;TOTAL;;;2940044.4000000004
DIVINÓPOLIS;ICMS;Crédito Presumido(1,2 e 3);Indústria de Transformação;1260703.39
;TOTAL;;;1260703.39
POUSO ALEGRE;ICMS;Crédito Presumido(1,2 e 3);"Comércio; reparação de veículos automotores e motocicletas";813897.9304571357
;;;Indústria de Transformação;3086775.06
;TOTAL;;;3900672.9904571357
Fonte: Dados Cognos, SAS e SIARE/MG - julho 2023;;;;
Elaboração: DIEF/SAIF/SEF-MG;;;;
Notas:;;;;
"Obs.: Receita Orçamentária Fiscal: Receitas Correntes = R$ 141.642.784.127; Receita Tributária (Impostos, Taxas e Contribuições de Melhoria) = R$ 103.007.227.969;  ICMS com juros,multas e dívida ativa = R$ 79.042.161.520.";;;;
Notas:;;;;
1 - Para a quantificação das renúncias fiscais do ICMS formalizadas em regimes especiais, a SEF/MG agrega e consolida por núcleo de CNPJ, os dados informados pelos contribuintes na DAPI - Declaração de Apuração do ICMS, Portaria SRE-117/2013, modalidade de autolançamento do imposto, e complementa eventualmente com os dados dos demais documentos eletrônicos emitidos pelos mesmos. Essas informações estão sujeitas à revisão fiscal no prazo decadencial de 5 anos.;;;;
2 - A SEF/MG, na eventual concessão de regime especial de tratamento tributário setorial que possa ser caracterizado como uma nova renúncia de receita de ICMS, irá adotar o dispositivo de salva guarda da arrecadação tributária, como medida de compensação de renúncia fiscal, consistente na aceitação pelo contribuinte de uma receita mínima nos exercícios seguintes, correspondente ao valor do ICMS devido a título de operação própria e substituição tributária, corretamente declarado no exercício fiscal anterior, corrigido pela variação acumulada do IPCA, divulgado pelo IBGE.;;;;
3 - Incremento de receita no exercício de 2022, decorrente da incidência de tributação nas operações de importação com fertilizantes e seus insumos, anteriormente isentas, cuja carga tributária foi definida de acordo com os percentuais estabelecidos pelo Convênio ICMS 26/21, de forma gradual, a partir de 2022 até 2025.;;;;
A fundamentação legal é no sentido de que não serão afetadas as metas de resultados fiscais do setor, nos termos do inciso I, art. 14 da Lei Complementar nº 101/2000.;;;;
